college_name,college_link,duration,fees,rank,placement,c_type,program
"Takshshila Institute of Engineering & Technology, Jabalpur",https://www.collegesearch.in/colleges/takshshila-institute-of-engineering-technology-jabalpur,4 Years,"Rs 2,32,000/-",,,,Bachelor of Engineering
"Shah & Anchor Kutchhi Engineering College, Mumbai",https://www.collegesearch.in/colleges/shah-anchor-kutchhi-engineering-college-mumbai,4 Years,,,"Average -Rs.
                                2.0 L.P.A/-",,Bachelor of Engineering
"Global Institute of Engineering and Technology, Hyderabad",https://www.collegesearch.in/colleges/global-institute-of-engineering-and-technology-hyderabad,4 Years,,,,,Bachelor of Technology (B.Tech)
"IFTM University, Moradabad",https://www.collegesearch.in/university/iftm-university-moradabad,4 Years,"Rs 3,56,000/-",,,State Private University,Bachelor of Technology (B.Tech)
"Loyola-ICAM College of Engineering and Technology (LICET), Chennai",https://www.collegesearch.in/colleges/loyola-icam-college-of-engineering-and-technology-licet-chennai,4 Years,,,,,Bachelor of Engineering
"Adhunik College of Engineering, Ghaziabad",https://www.collegesearch.in/colleges/adhunik-college-of-engineering,4 Years,"Rs 3,20,000/-",,,,Bachelor of Technology (B.Tech)
"College of Military Engineering, Delhi",https://www.collegesearch.in/colleges/college-of-military-engineering-delhi,4 Years,,,,,Bachelor of Technology (B.Tech)
Shri Jagdish Prasad Jhabarmal Tibrewala University (JJTU),https://www.collegesearch.in/university/shri-jagdish-prasad-jhabarmal-tibrewala-university-jjtu,4 Years,"Rs 5,85,000/-",,,State Private University,Bachelor of Technology (B.Tech)
"Raja College of Engineering & Technology, Madurai",https://www.collegesearch.in/colleges/raja-college-of-engineering-technology-madurai,4 Years,,,,,Bachelor of Engineering
"GVR & S College of Engineering & Technology, Guntur",https://www.collegesearch.in/colleges/gvr-s-college-of-engineering-technology-guntur,4 Years,"Rs 1,40,000/-",,"Average -Rs.
                                4.0 L.P.A/-Highest -Rs.
                                6.0 L.P.A/-",,Bachelor of Technology (B.Tech)
"Swami Rama Himalayan University, Dehradun",https://www.collegesearch.in/university/swami-rama-himalayan-university-dehradun,4 Years,"Rs 53,280/-",,,State Private University,Bachelor of Technology (B.Tech)
Guru Gobind Singh Educational Society&rsquo;s Technical Campus (GGSESTC),https://www.collegesearch.in/colleges/guru-gobind-singh-educational-societys-technical-campus-ggsestc,4 Years,"Rs 2,74,400/-",,,,Bachelor of Technology (B.Tech)
"Raajdhani Engineering College, Bhubaneswar",https://www.collegesearch.in/colleges/raajdhani-engineering-college-bhubaneswar,4 Years,,,,,Bachelor of Technology (B.Tech)
VKR VNB & AGK Engineering College,https://www.collegesearch.in/colleges/vkr-vnb-agk-engineering-college,4 Years,"Rs 1,40,000/-",,,,Bachelor of Technology (B.Tech)
"Suyash Institute of Information Technology, Gorakhpur",https://www.collegesearch.in/colleges/suyash-institute-of-information-technology-gorakhpur,4 Years,"Rs 4,98,400/-",,,,Bachelor of Technology (B.Tech)
Adarsha College of Engineering,https://www.collegesearch.in/colleges/adarsha-college-of-engineering,4 Years,,,,,Bachelor of Technology (B.Tech)
"Indus International University, Solan",https://www.collegesearch.in/university/indus-international-university,4 Years,"Rs 3,20,000/-",,,State Private University,Bachelor of Technology (B.Tech)
"Akshaya College of Engineering & Technology, Coimbatore",https://www.collegesearch.in/colleges/akshaya-college-of-engineering-technology-coimbatore,4 Years,"Rs 2,00,000/-",,,,Bachelor of Engineering
"Dev Technical Campus, Agra",https://www.collegesearch.in/colleges/dev-technical-campus-agra,4 Years,"Rs 2,88,000/-",,,,Bachelor of Technology (B.Tech)
"South Point Institute of Technology & Management, Sonepat",https://www.collegesearch.in/colleges/south-point-institute-of-technology-management-sonepat,4 Years,,,,,Bachelor of Technology (B.Tech)
"Sagar Institute of Technology & Management, Lucknow",https://www.collegesearch.in/colleges/sagar-institute-of-technology-management-lucknow,4 Years,"Rs 3,28,000/-",,,,Bachelor of Technology (B.Tech)
"ACE College Of Engineering, Thiruvananthapuram",https://www.collegesearch.in/colleges/ace-college-of-engineering-thiruvananthapuram,4 Years,,,,,Bachelor of Technology (B.Tech)
Sri Siddhartha Academy of Higher Education,https://www.collegesearch.in/university/sri-siddhartha-academy-of-higher-education,4 Years,,,,Deemed,Bachelor of Engineering
"Nalanda Institute of Engineering & Technology, Guntur",https://www.collegesearch.in/colleges/nalanda-institute-of-engineering-technology-guntur,4 Years,,,,,Bachelor of Technology (B.Tech)
"Global Group of Institutions, Lucknow",https://www.collegesearch.in/colleges/global-group-of-institutions-lucknow,4 Years,,,,,Bachelor of Technology (B.Tech)
"DJR College of Engineering & Technology, Vijayawada",https://www.collegesearch.in/colleges/djr-college-of-engineering-technology-vijayawada,4 Years,,,,,Bachelor of Technology (B.Tech)
Landmark Technical Campus,https://www.collegesearch.in/colleges/landmark-technical-campus,4 Years,,,,,Bachelor of Technology (B.Tech)
"ARS College of Engineering and Technology, Chennai",https://www.collegesearch.in/colleges/ars-college-of-engineering-and-technology-chennai,4 Years,"Rs 2,60,000/-",,,,Bachelor of Engineering
Holycross Engineering College,https://www.collegesearch.in/colleges/holycross-engineering-college,4 Years,"Rs 1,80,000/-",,,,Bachelor of Engineering
"Annai Mira College of Engineering and Technology (AMCET), Vellore",https://www.collegesearch.in/colleges/annai-mira-college-of-engineering-and-technology-amcet-vellore,4 Years,"Rs 1,60,000/-",,,,Bachelor of Engineering
"Panjab University, Chandigarh",https://www.collegesearch.in/university/panjab-university-chandigarh,4 Years,,,,,Bachelor of Technology (B.Tech)
Continental College of Higher Studies,https://www.collegesearch.in/colleges/continental-college-of-higher-studies,4 Years,"Rs 3,59,600/-",,,,Bachelor of Technology (B.Tech)
"Priyadarshini Institute of Technology - Tirupati, Tirupathi",https://www.collegesearch.in/colleges/priyadarshini-institute-of-technology-tirupati-tirupathi,4 Years,,,,,Bachelor of Technology (B.Tech)
"School of Technology and Applied Science, Kottayam",https://www.collegesearch.in/colleges/school-of-technology-and-applied-science-kottayam,4 Years,"Rs 1,12,000/-",,,,Bachelor of Technology (B.Tech)
"SN Patel Institute of Technology & Research Centre, Surat",https://www.collegesearch.in/colleges/sn-patel-institute-of-technology-research-centre-surat,4 Years,,,,,Bachelor of Engineering
"College of Engineering and Technology-Payyanur, Kannur",https://www.collegesearch.in/colleges/college-of-engineering-and-technology-payyanur-kannur,4 Years,"Rs 3,00,000/-",,,,Bachelor of Technology (B.Tech)
"Ishwar Chand Vidya Sagar Institute of Technology, Mathura",https://www.collegesearch.in/colleges/ishwar-chand-vidya-sagar-institute-of-technology-mathura,4 Years,"Rs 1,83,680/-",,,,Bachelor of Technology (B.Tech)
"Selvam College of Technology, Salem",https://www.collegesearch.in/colleges/selvam-college-of-technology-salem,4 Years,,,,,Bachelor of Engineering
"Vimal Jyothi Engineering College, Kannur",https://www.collegesearch.in/colleges/vimal-jyothi-engineering-college-kannur,4 Years,"Rs 3,00,000/-",,,,Bachelor of Technology (B.Tech)
"Dr Pauls Engineering College, Villupuram",https://www.collegesearch.in/colleges/dr-pauls-engineering-college,4 Years,"Rs 1,60,000/-",,,,Bachelor of Engineering
"ARM College of Engineering and Technology, Chennai",https://www.collegesearch.in/colleges/arm-college-of-engineering-and-technology-chennai,4 Years,"Rs 1,60,000/-",,,,Bachelor of Engineering
"Bansal College of Engineering, Bhopal",https://www.collegesearch.in/colleges/bansal-college-of-engineering-bhopal,4 Years,"Rs 1,40,000/-",,,,Bachelor of Engineering
"Shiv Kumar Singh Institute of Technology & Science, Indore",https://www.collegesearch.in/colleges/shiv-kumar-singh-institute-of-technology-science-indore,4 Years,,,,,Bachelor of Engineering
"Modern Institute of Technology and Management (MITM), Bhubaneswar",https://www.collegesearch.in/colleges/modern-institute-of-technology-and-management-mitm-bhubaneswar,4 Years,,,,,Bachelor of Technology (B.Tech)
"Vignan Institute of Technology and Management, Berhampur",https://www.collegesearch.in/colleges/vignan-institute-of-technology-and-management-berhampur,4 Years,"Rs 2,97,500/-",,,,Bachelor of Technology (B.Tech)
"Aizza College of Engineering & Technology, Adilabad",https://www.collegesearch.in/colleges/aizza-college-of-engineering-technology,4 Years,"Rs 1,40,000/-",,,,Bachelor of Technology (B.Tech)
"Ram Devi Jindal Group of Professional Institutes, Mohali",https://www.collegesearch.in/colleges/ram-devi-jindal-group-of-professional-institutes-mohali,4 Years,"Rs 2,80,000/-",,,,Bachelor of Technology (B.Tech)
"Sri Sairam Institute of Technology, Chennai",https://www.collegesearch.in/colleges/sri-sairam-institute-of-technology-chennai,4 Years,,,,,Bachelor of Engineering
"Gurgaon College of Engineering, Gurgaon",https://www.collegesearch.in/colleges/gurgaon-college-of-engineering-gurgaon,4 Years,"Rs 3,96,840/-",,,,Bachelor of Technology (B.Tech)
"Helapuri Institute of Technology and Science, Eluru",https://www.collegesearch.in/colleges/helapuri-institute-of-technology-and-science-eluru,4 Years,,,,,Bachelor of Technology (B.Tech)
"Scope College of Engineering, Bhopal",https://www.collegesearch.in/colleges/scope-college-of-engineering,4 Years,,,"Average -Rs.
                                1.8 L.P.A/-",,Bachelor of Engineering
"Vivekanand College of Technology & Management, Aligarh",https://www.collegesearch.in/colleges/vivekanand-college-of-technology-management-aligarh,4 Years,,,,,Bachelor of Technology (B.Tech)
"Sakshi Institute of Technology & Management, Gwalior",https://www.collegesearch.in/colleges/sakshi-institute-of-technology-management,4 Years,"Rs 1,82,400/-",,,,Bachelor of Technology (B.Tech)
Sri Padmavathi College Of Engineering,https://www.collegesearch.in/colleges/sri-padmavathi-college-of-engineering,4 Years,"Rs 1,80,000/-",,,,Bachelor of Engineering
Hansaba College of Engineering & Technology,https://www.collegesearch.in/colleges/hansaba-college-of-engineering-technology,4 Years,"Rs 2,32,000/-",,,,Bachelor of Engineering
"Sahyadri Valley College, Pune",https://www.collegesearch.in/colleges/sahyadri-valley-college-pune,4 Years,,,,,Bachelor of Engineering
"Model Institute of Engineering & Technology, Jammu",https://www.collegesearch.in/colleges/model-institute-of-engineering-technology-jammu,4 Years,,,,,Bachelor of Technology (B.Tech)
"Radical Technical Institute, Amritsar",https://www.collegesearch.in/colleges/radical-technical-institute-amritsar,4 Years,"Rs 5,07,000/-",,,,Bachelor of Technology (B.Tech)
"BVRIT Hyderabad College of Engineering for Women, Hyderabad",https://www.collegesearch.in/colleges/bvrit-hyderabad-college-of-engineering-for-women-hyderabad,4 Years,,,,,Bachelor of Technology (B.Tech)
"MLR Institute of Technology and Management, Hyderabad",https://www.collegesearch.in/colleges/mlr-institute-of-technology-and-management-hyderabad,4 Years,"Rs 1,20,800/-",,,,Bachelor of Technology (B.Tech)
"Gyan Ganga Institute of Technology & Science, Jabalpur",https://www.collegesearch.in/colleges/gyan-ganga-institute-of-technology-science-jabalpur,4 Years,,,,,Bachelor of Engineering
"Sri Sai Institute of Technology and Science (SSITS), Kadapa",https://www.collegesearch.in/colleges/sri-sai-institute-of-technology-and-science-ssits-kadapa,4 Years,"Rs 1,24,000/-",,,,Bachelor of Technology (B.Tech)
VSM College of Engineering,https://www.collegesearch.in/colleges/vsm-college-of-engineering,4 Years,,,,,Bachelor of Technology (B.Tech)
"Nigama Engineering College, Karimnagar",https://www.collegesearch.in/colleges/nigama-engineering-college-karimnagar,4 Years,"Rs 1,80,000/-",,,,Bachelor of Technology (B.Tech)
Sir Issac Newton College of Engineering and Technology,https://www.collegesearch.in/colleges/sir-issac-newton-college-of-engineering-and-technology,4 Years,,,,,Bachelor of Engineering
"James College of Engineering and Technology, Kanyakumari",https://www.collegesearch.in/colleges/james-college-of-engineering-and-technology-kanyakumari,4 Years,,,,,Bachelor of Engineering
"ShriRam Institute of Information Technology - (SRIIT), Gwalior",https://www.collegesearch.in/colleges/shriram-institute-of-information-technology-sriit-gwalior,4 Years,,,,,Bachelor of Technology (B.Tech)
Parisutham Institute of Technology and Science,https://www.collegesearch.in/colleges/parisutham-institute-of-technology-and-science,4 Years,,,,,Bachelor of Engineering
"Silicon Institute of Technology, Sambalpur",https://www.collegesearch.in/colleges/silicon-institute-of-technology-sambalpur,4 Years,,,,,Bachelor of Technology (B.Tech)
"Rajadhani Institute of Engineering and Technology, Thiruvananthapuram",https://www.collegesearch.in/colleges/rajadhani-institute-of-engineering-and-technology-thiruvananthapuram,4 Years,,,,,Bachelor of Technology (B.Tech)
Sri Rangapoopathi College of Engineering,https://www.collegesearch.in/colleges/sri-rangapoopathi-college-of-engineering,4 Years,,,,,Bachelor of Engineering
"BVM College of Technology & Management, Gwalior",https://www.collegesearch.in/colleges/bvm-college-of-technology-management-gwalior,4 Years,,,,,Bachelor of Engineering
St Mother Theresa Engineering College,https://www.collegesearch.in/colleges/st-mother-theresa-engineering-college,4 Years,"Rs 2,20,000/-",,,,Bachelor of Engineering
"OAS Institute of Technology and Management, Trichy",https://www.collegesearch.in/colleges/oas-institute-of-technology-and-management-trichy,4 Years,,,,,Bachelor of Engineering
"Vidhya Mandhir Institute of Technology, Erode",https://www.collegesearch.in/colleges/vidhya-mandhir-institute-of-technology-erode,4 Years,"Rs 2,16,400/-",,,,Bachelor of Engineering
KMP College of Engineering,https://www.collegesearch.in/colleges/kmp-college-of-engineering,4 Years,"Rs 2,90,000/-",,,,Bachelor of Technology (B.Tech)
Kite College of Professional Engineering Sciences,https://www.collegesearch.in/colleges/kite-college-of-professional-engineering-sciences,4 Years,,,,,Bachelor of Technology (B.Tech)
Sri Krishna Devaraya Engineering College,https://www.collegesearch.in/colleges/sri-krishna-devaraya-engineering-college,4 Years,"Rs 1,40,000/-",,,,Bachelor of Technology (B.Tech)
Annai College of Engineering and Technology,https://www.collegesearch.in/colleges/annai-college-of-engineering-and-technology,4 Years,"Rs 2,80,000/-",,,,Bachelor of Engineering
Ashoka Institute of Engineering & Technology (AIET),https://www.collegesearch.in/colleges/ashoka-institute-of-engineering-technology-aiet,4 Years,,,,,Bachelor of Technology (B.Tech)
The Indian Engineering College,https://www.collegesearch.in/colleges/the-indian-engineering-college,4 Years,,,,,Bachelor of Engineering
"DNM Institute of Engineering & Technology, Lucknow",https://www.collegesearch.in/colleges/dnm-institute-of-engineering-technology-lucknow,4 Years,,,,,Bachelor of Technology (B.Tech)
"Vishnu Lakshmi College of Engineering & Technology, Coimbatore",https://www.collegesearch.in/colleges/vishnu-lakshmi-college-of-engineering-technology-coimbatore,4 Years,,,,,Bachelor of Technology (B.Tech)
CRV Institute of Technology and Science,https://www.collegesearch.in/colleges/crv-institute-of-technology-and-science,4 Years,"Rs 1,24,000/-",,,,Bachelor of Technology (B.Tech)
CRV Institute of Technology and Science,https://www.collegesearch.in/colleges/crv-institute-of-technology-and-science,4 Years,"Rs 1,24,000/-",,,,Bachelor of Technology (B.Tech)
"Shamli Institute of Engineering and Technology, Muzaffaranagar",https://www.collegesearch.in/colleges/shamli-institute-of-engineering-and-technology-muzaffaranagar,4 Years,,,,,Bachelor of Technology (B.Tech)
Sri Ganganagar Engineering College,https://www.collegesearch.in/colleges/sri-ganganagar-engineering-college,4 Years,,,,,Bachelor of Technology (B.Tech)
"Stella Mary College of Engineering, Kanyakumari",https://www.collegesearch.in/colleges/stella-mary-college-of-engineering-kanyakumari,4 Years,,,,,Bachelor of Engineering
College of Engineering and Management - Punnapra,https://www.collegesearch.in/colleges/college-of-engineering-and-management-punnapra,4 Years,,,,,Bachelor of Technology (B.Tech)
"Mittal Institute of Technology, Bhopal",https://www.collegesearch.in/colleges/mittal-institute-of-technology-bhopal,4 Years,,,,,Bachelor of Engineering
"Malhotra Technical Research Institute, Bhopal",https://www.collegesearch.in/colleges/malhotra-technical-research-institute-bhopal,4 Years,,,"Average -Rs.
                                2.0 L.P.A/-",,Bachelor of Engineering
"Radha Govind School of Engineering and Technology, Meerut",https://www.collegesearch.in/colleges/radha-govind-school-of-engineering-and-technology-meerut,4 Years,"Rs 1,60,000/-",,"Average -Rs.
                                2.4 L.P.A/-",,Bachelor of Technology (B.Tech)
PIET&rsquo;s College of Engineering,https://www.collegesearch.in/colleges/piets-college-of-engineering,4 Years,,,,,Bachelor of Technology (B.Tech)
"Guru Ram Dass Institute of Engineering & Technology, Bhatinda",https://www.collegesearch.in/colleges/guru-ram-dass-institute-of-engineering-technology-bhatinda,4 Years,"Rs 1,66,400/-",,,,Bachelor of Technology (B.Tech)
"Beehive College of Engineering & Technology, Dehradun",https://www.collegesearch.in/colleges/beehive-college-of-engineering-technology-dehradun,4 Years,,,,,Bachelor of Technology (B.Tech)
"BBS Institute of Management & Technology, Allahabad",https://www.collegesearch.in/colleges/bbs-institute-of-management-technology-allahabad,4 Years,"Rs 3,75,200/-",,,,Bachelor of Technology (B.Tech)
"ICL Institute of Engineering & Technology, Ambala",https://www.collegesearch.in/colleges/icl-institute-of-engineering-technology-ambala,4 Years,"Rs 2,88,000/-",,,,Bachelor of Technology (B.Tech)
"Mayurakshi Institute of Engineering and Technology, Jodhpur",https://www.collegesearch.in/colleges/mayurakshi-institute-of-engineering-and-technology-jodhpur,4 Years,,,,,Bachelor of Technology (B.Tech)
"Advait Vedanta Institute of Technology, Jaipur",https://www.collegesearch.in/colleges/advait-vedanta-institute-of-technology-jaipur,4 Years,"Rs 5,00,000/-",,,,Bachelor of Technology (B.Tech)
"Adhiparasakthi College of Engineering, Vellore",https://www.collegesearch.in/colleges/adhiparasakthi-college-of-engineering-vellore,4 Years,,,,,Bachelor of Technology (B.Tech)
"Kalsar College of Engineering, Chennai",https://www.collegesearch.in/colleges/kalsar-college-of-engineering-chennai,4 Years,,,,,Bachelor of Engineering
Shri Satsangi Saket Dham Group of Institutions,https://www.collegesearch.in/colleges/shri-satsangi-saket-dham-group-of-institutions,4 Years,,,,,Bachelor of Technology (B.Tech)
"J P College of Engineering, Madurai",https://www.collegesearch.in/colleges/j-p-college-of-engineering-madurai,4 Years,"Rs 3,16,000/-",,,,Bachelor of Engineering
"Bansal Institute of Research & Technology, Bhopal",https://www.collegesearch.in/colleges/bansal-institute-of-research-technology-bhopal,4 Years,,,,,Bachelor of Engineering
Sat Priya Institute of Engineering,https://www.collegesearch.in/colleges/sat-priya-institute-of-engineering,4 Years,"Rs 2,39,804/-",,,,Bachelor of Technology (B.Tech)
"Sreekavitha Engineering College, Hyderabad",https://www.collegesearch.in/colleges/sreekavitha-engineering-college,4 Years,,,,,Bachelor of Technology (B.Tech)
"Shri Guru Sandipani Institute of Technology & Science, Ujjain",https://www.collegesearch.in/colleges/shri-guru-sandipani-institute-of-technology-science-ujjain,4 Years,"Rs 2,20,000/-",,,,Bachelor of Engineering
"E Max College of Engineering & Applied Research, Ambala",https://www.collegesearch.in/colleges/e-max-college-of-engineering-applied-research-ambala,4 Years,"Rs 4,51,410/-",,,,Bachelor of Technology (B.Tech)
"St Josephs Institute of Technology, Chennai",https://www.collegesearch.in/colleges/st-josephs-institute-of-technology-chennai,4 Years,,,,,Bachelor of Engineering
Radiant Institute of Engineering & Technology,https://www.collegesearch.in/colleges/radiant-institute-of-engineering-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
Nathdwara Institute Of Engineering & Technology,https://www.collegesearch.in/colleges/nathdwara-institute-of-engineering-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
"Rayat Bahra Group of Institutes, Panipat",https://www.collegesearch.in/colleges/rayat-bahra-group-of-institutes-panipat,4 Years,,,,,Bachelor of Technology (B.Tech)
SCAD Institute of Technology,https://www.collegesearch.in/colleges/scad-institute-of-technology,4 Years,"Rs 4,68,000/-",,,,Bachelor of Engineering
"Ishwar Institute of Technology & Research, Faridabad",https://www.collegesearch.in/colleges/ishwar-institute-of-technology-research-faridabad,4 Years,"Rs 2,08,000/-",,,,Bachelor of Technology (B.Tech)
Travancore Engineering College,https://www.collegesearch.in/colleges/travancore-engineering-college,4 Years,,,,,Bachelor of Technology (B.Tech)
Sri Bharathi Engineering College for Women,https://www.collegesearch.in/colleges/sri-bharathi-engineering-college-for-women,4 Years,,,,,Bachelor of Engineering
"Indian Institute of Information Technology (IIIT Manipur), Amaravati",https://www.collegesearch.in/colleges/indian-institute-of-information-technology-iiit-manipur,4 Years,,,,Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Technology (IIT), Jammu",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-jammu,4 Years,"Rs 4,97,800/-",,,,Bachelor of Technology (B.Tech)
Avanthi&rsquo;s Research and Technological Academy,https://www.collegesearch.in/colleges/avanthis-research-and-technological-academy,4 Years,,,,,Bachelor of Technology (B.Tech)
Cambridge Engineering College,https://www.collegesearch.in/colleges/cambridge-engineering-college,4 Years,,,,,Bachelor of Technology (B.Tech)
Templecity Institute of Technology and Engineering,https://www.collegesearch.in/colleges/templecity-institute-of-technology-and-engineering,4 Years,"Rs 3,10,000/-",,,,Bachelor of Technology (B.Tech)
"Podhigai College of Engineering and Technology, Vellore",https://www.collegesearch.in/colleges/podhigai-college-of-engineering-and-technology-vellore,4 Years,"Rs 1,30,000/-",,,,Bachelor of Engineering
Shree Ram Institute of Engineering & Technology,https://www.collegesearch.in/colleges/shree-ram-institute-of-engineering-technology,4 Years,"Rs 40,500/-",,,,Bachelor of Technology (B.Tech)
Millia Institute of Technology,https://www.collegesearch.in/colleges/millia-institute-of-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
"Lakshmi Narain College of Technology - Jabaplur, Jabalpur",https://www.collegesearch.in/colleges/lakshmi-narain-college-of-technology-jabaplur-jabalpur,4 Years,"Rs 1,40,000/-",,,,Bachelor of Technology (B.Tech)
"Kottayam Institute of Technology and Science, Kottayam",https://www.collegesearch.in/colleges/kottayam-institute-of-technology-and-science-kottayam,4 Years,"Rs 2,48,000/-",,,,Bachelor of Technology (B.Tech)
"DR College of Engineering & Technology (DRCET), Panipat",https://www.collegesearch.in/colleges/dr-college-of-engineering-technology-drcet-panipat,4 Years,"Rs 2,49,500/-",,,,Bachelor of Technology (B.Tech)
"Gaya engineering college, Gaya",https://www.collegesearch.in/colleges/gaya-engineering-college-gaya,4 Years,,,,,Bachelor of Technology (B.Tech)
"Institute of Engineering & Science, Indore",https://www.collegesearch.in/colleges/institute-of-engineering-science-indore,4 Years,,,,,Bachelor of Engineering
"Mother Terasa College of Engineering and Technology (MTCET), Pudukkottai",https://www.collegesearch.in/colleges/mother-terasa-college-of-engineering-and-technology-mtcet,4 Years,,,,,Bachelor of Engineering
"Medi-Caps Institute of Science & Technology, Indore",https://www.collegesearch.in/colleges/medi-caps-institute-of-science-technology-indore,4 Years,,,,,Bachelor of Engineering
"Mahatma Gandhi Institute of Engineering & Management, Indore",https://www.collegesearch.in/colleges/mahatma-gandhi-institute-of-engineering-management-indore,4 Years,,,,,Bachelor of Engineering
"Anupama College of Engineering, Agra",https://www.collegesearch.in/colleges/anupama-college-of-engineering-agra,4 Years,"Rs 4,09,000/-",,,,Bachelor of Technology (B.Tech)
Sri Sarada Institute of Science and Technology,https://www.collegesearch.in/colleges/sri-sarada-institute-of-science-and-technology,4 Years,"Rs 1,28,000/-",,,,Bachelor of Technology (B.Tech)
Pallava Raja College of Engineering,https://www.collegesearch.in/colleges/pallava-raja-college-of-engineering,4 Years,,,,,Bachelor of Engineering
Rajas International Institute of Technology for Women,https://www.collegesearch.in/colleges/rajas-international-institute-of-technology-for-women,4 Years,,,,,Bachelor of Engineering
"Sagar Institute of Research Technology & Science, Bhopal",https://www.collegesearch.in/colleges/sagar-institute-of-research-technology-science-bhopal,4 Years,"Rs 2,96,000/-",,,,Bachelor of Technology (B.Tech)
Jyothishamthi College of Engineering & Technology,https://www.collegesearch.in/colleges/jyothishamthi-college-of-engineering-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
Vetri Vinayaha College of Engineering and Technology,https://www.collegesearch.in/colleges/vetri-vinayaha-college-of-engineering-and-technology,4 Years,,,,,Bachelor of Engineering
"MK School of Engineering & Technology, Amritsar",https://www.collegesearch.in/colleges/mk-school-of-engineering-technology-amritsar,4 Years,,,,,Bachelor of Technology (B.Tech)
Excel College of Technology,https://www.collegesearch.in/colleges/excel-college-of-technology,4 Years,,,,,Bachelor of Engineering
"Bharathiyar College of Engineering and Technology, Karaikal",https://www.collegesearch.in/colleges/bharathiyar-college-of-engineering-and-technology-karaikal,4 Years,,,,,Bachelor of Technology (B.Tech)
KKC College of Engineering and Technology,https://www.collegesearch.in/colleges/kkc-college-of-engineering-and-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
Adrash College of Engineering (ACEE),https://www.collegesearch.in/colleges/adrash-college-of-engineering-acee,4 Years,,,,,Bachelor of Technology (B.Tech)
"Sagar Institute of Science Technology and Research(SISTecR), Bhopal",https://www.collegesearch.in/colleges/sagar-institute-of-science-technology-and-researchsistecr-bhopal,4 Years,,,,,Bachelor of Technology (B.Tech)
ILAHIA School of Science and Technology,https://www.collegesearch.in/colleges/ilahia-school-of-science-and-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
"GSBA Engineering Pharmacy & Management Institute, Haridwar",https://www.collegesearch.in/colleges/gsba-engineering-pharmacy-management-institute-haridwar,4 Years,,,,,Bachelor of Technology (B.Tech)
C U Shah College of Engineering & Technology,https://www.collegesearch.in/colleges/c-u-shah-college-of-engineering-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
"Rajiv Gandhi Institute of Technology - Bangalore, Bangalore",https://www.collegesearch.in/colleges/rajiv-gandhi-institute-of-technology-bangalore,4 Years,,,,,Bachelor of Engineering
St Josephs College of Engineering and Technology,https://www.collegesearch.in/colleges/st-josephs-college-of-engineering-and-technology,4 Years,"Rs 1,80,000/-",,,,Bachelor of Engineering
Valia Koonambaikulathamma College of Engineering and Technology,https://www.collegesearch.in/colleges/valia-koonambaikulathamma-college-of-engineering-and-technology,4 Years,"Rs 2,60,000/-",,,,Bachelor of Technology (B.Tech)
"RKDF University, Ranchi",https://www.collegesearch.in/colleges/rkdf-university-ranchi,4 Years,"Rs 4,40,000/-",,,,Bachelor of Technology (B.Tech)
"Vedica Institute of Technology, Bhopal",https://www.collegesearch.in/colleges/vedica-institute-of-technology,4 Years,,,,,Bachelor of Engineering
"Mangalayatan University, Aligarh",https://www.collegesearch.in/university/mangalayatan-university-aligarh,4 Years,"Rs 5,80,000/-",,,,Bachelor of Technology (B.Tech)
"Vinayaka Missions University (VMU), Chennai",https://www.collegesearch.in/university/vinayaka-missions-university-vmu-chennai,4 Years,"Rs 2,40,000/-",,,State Private University,Bachelor of Engineering
"AP Goyal Shimla University, Shimla",https://www.collegesearch.in/university/apg-shimla-university-shimla,4 Years,"Rs 5,67,000/-",,"Average -Rs.
                                7 L.P.A/-Highest -Rs.
                                10 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
EIILM University,https://www.collegesearch.in/university/eiilm-university,4 Years,"Rs 2,73,500/-",,,State Private University,Bachelor of Technology (B.Tech)
"Bahra University - Shimla, Solan",https://www.collegesearch.in/university/bahra-university-shimla-solan,4 Years,"Rs 4,60,000/-",,"Average -Rs.
                                2.4 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"Gurukul Institute of Management & Technology, New delhi",https://www.collegesearch.in/colleges/gurukul-institute-of-management-technology,4 Years,,,,,Bachelor of Technology (B.Tech)
"SRM University - Haryana, Sonepat",https://www.collegesearch.in/colleges/srm-university-haryana-sonepat,4 Years,"Rs 7,00,000/-",,,State Private University,Bachelor of Technology (B.Tech)
"Dhanalakshmi Srinivasan Institute of Technology, Trichy",https://www.collegesearch.in/colleges/dhanalakshmi-srinivasan-institute-of-technology-trichy,4 Years,,,,,Bachelor of Engineering
"Universal College of Engineering, Thane",https://www.collegesearch.in/colleges/universal-college-of-engineering-thane,4 Years,"Rs 65,990/-",,"Average -Rs.
                                4.6 L.P.A/-Highest -Rs.
                                20 L.P.A/-",,Bachelor of Engineering
