program,course_languageEn,duration,university_name,ielts,toefl,gpa,fees,college_link
bachelor of technology (b.tech),not specified,4 years,"gs mandal&rsquo;s maharashtra institute of technology, aurangabad",5.925531104850377,80.61120840630473,0.0,2891.57,https://www.collegesearch.in/colleges/gs-mandals-maharashtra-institute-of-technology-aurangabad
master of business administration(mba),not specified,2 years,"gs mandal&rsquo;s maharashtra institute of technology, aurangabad",5.925531104850377,80.61120840630473,0.0,1849.64,https://www.collegesearch.in/colleges/gs-mandals-maharashtra-institute-of-technology-aurangabad
master of technology (m.tech),not specified,2 years,"gs mandal&rsquo;s maharashtra institute of technology, aurangabad",5.925531104850377,80.61120840630473,0.0,1807.23,https://www.collegesearch.in/colleges/gs-mandals-maharashtra-institute-of-technology-aurangabad
master of business administration(mba),not specified,2 years,"gt institute of management studies and research, bangalore",5.925531104850377,80.61120840630473,0.0,1807.23,https://www.collegesearch.in/colleges/gt-institute-of-management-studies-and-research-bangalore
bachelor of technology (b.tech),not specified,4 years,"gudlavalleru engineering college, krishna",5.925531104850377,80.61120840630473,0.0,3706.02,https://www.collegesearch.in/colleges/gudlavalleru-engineering-college
master of business administration(mba),not specified,2 years,"gudlavalleru engineering college, krishna",5.925531104850377,80.61120840630473,0.0,1083.13,https://www.collegesearch.in/colleges/gudlavalleru-engineering-college
master of technology (m.tech),not specified,2 years,"gudlavalleru engineering college, krishna",5.925531104850377,80.61120840630473,0.0,1767.47,https://www.collegesearch.in/colleges/gudlavalleru-engineering-college
master of technology (m.tech),not specified,2 years,"gujarat forensic sciences university, gandhinagar",5.925531104850377,80.61120840630473,0.0,2891.57,https://www.collegesearch.in/university/gujarat-forensic-sciences-university-gandhinagar
master of business administration(mba),not specified,2 years,"gujarat university, ahmedabad",5.925531104850377,80.61120840630473,0.0,3691.57,https://www.collegesearch.in/university/gujarat-university-gu-ahmedabad
bachelor of business administration (bba),not specified,3 years,"gujranwala guru nanak institute of management & technology, ludhiana",5.925531104850377,80.61120840630473,0.0,1415.06,https://www.collegesearch.in/colleges/gujranwala-guru-nanak-institute-of-management-technology-ludhiana
master of business administration(mba),not specified,2 years,"gujranwala guru nanak institute of management & technology, ludhiana",5.925531104850377,80.61120840630473,0.0,1927.71,https://www.collegesearch.in/colleges/gujranwala-guru-nanak-institute-of-management-technology-ludhiana
master of business administration(mba),not specified,2 years,"gulzar group of institutes (ggi), ludhiana",5.925531104850377,80.61120840630473,0.0,2014.46,https://www.collegesearch.in/colleges/gulzar-group-of-institutes-ggi-ludhiana
bachelor of technology (b.tech),not specified,4 years,"guntur engineering college, guntur",5.925531104850377,80.61120840630473,0.0,2650.6,https://www.collegesearch.in/colleges/guntur-engineering-college-guntur
master of business administration(mba),not specified,2 years,"guntur engineering college, guntur",5.925531104850377,80.61120840630473,0.0,843.37,https://www.collegesearch.in/colleges/guntur-engineering-college-guntur
master of technology (m.tech),not specified,2 years,"guntur engineering college, guntur",5.925531104850377,80.61120840630473,0.0,1445.78,https://www.collegesearch.in/colleges/guntur-engineering-college-guntur
bachelor of business administration (bba),not specified,3 years,"gupta college, bangalore",5.925531104850377,80.61120840630473,0.0,1987.95,https://www.collegesearch.in/colleges/gupta-college-bangalore
bachelor of technology (b.tech),not specified,4 years,"gurgaon college of engineering, gurgaon",5.925531104850377,80.61120840630473,0.0,4781.2,https://www.collegesearch.in/colleges/gurgaon-college-of-engineering-gurgaon
master of technology (m.tech),not specified,2 years,"gurgaon college of engineering, gurgaon",5.925531104850377,80.61120840630473,0.0,2914.7,https://www.collegesearch.in/colleges/gurgaon-college-of-engineering-gurgaon
bachelor of business administration (bba),not specified,3 years,"guru gobind singh college of management technology giddarbaha, bhatinda",5.925531104850377,80.61120840630473,0.0,315.06,https://www.collegesearch.in/colleges/guru-gobind-singh-college-of-management-technology-giddarbaha-bhatinda
bachelor of technology (b.tech),not specified,4 years,guru gobind singh educational society&rsquo;s technical campus (ggsestc),5.925531104850377,80.61120840630473,0.0,3306.02,https://www.collegesearch.in/colleges/guru-gobind-singh-educational-societys-technical-campus-ggsestc
master of business administration(mba),not specified,2 years,guru gobind singh educational society&rsquo;s technical campus (ggsestc),5.925531104850377,80.61120840630473,0.0,1619.52,https://www.collegesearch.in/colleges/guru-gobind-singh-educational-societys-technical-campus-ggsestc
bachelor of technology (b.tech),not specified,4 years,"guru gobind singh indraprastha university (ipu), delhi",5.925531104850377,80.61120840630473,0.0,5650.6,https://www.collegesearch.in/university/guru-gobind-singh-indraprastha-university-ipu-delhi
bachelor of business administration (bba),not specified,3 years,"guru hargobind sahib khalsa girls college, patiala",5.925531104850377,80.61120840630473,0.0,301.2,https://www.collegesearch.in/colleges/guru-hargobind-sahib-khalsa-girls-college-patiala
master of business administration(mba),not specified,2 years,"guru jambheshwar university of science & technology, hisar",5.925531104850377,80.61120840630473,0.0,1277.11,https://www.collegesearch.in/colleges/guru-jambheshwar-university-of-science-technology-hisar
master of technology (m.tech),not specified,2 years,"guru jambheshwar university of science & technology, hisar",5.925531104850377,80.61120840630473,0.0,1204.82,https://www.collegesearch.in/colleges/guru-jambheshwar-university-of-science-technology-hisar
bachelor of business administration (bba),not specified,3 years,"guru kashi university, bhatinda",5.925531104850377,80.61120840630473,0.0,957.83,https://www.collegesearch.in/university/guru-kashi-university-bhatinda
bachelor of technology (b.tech),not specified,4 years,"guru kashi university, bhatinda",5.925531104850377,80.61120840630473,0.0,4463.86,https://www.collegesearch.in/university/guru-kashi-university-bhatinda
master of business administration(mba),not specified,2 years,"guru kashi university, bhatinda",5.925531104850377,80.61120840630473,0.0,1439.76,https://www.collegesearch.in/university/guru-kashi-university-bhatinda
master of technology (m.tech),not specified,2 years,"guru kashi university, bhatinda",5.925531104850377,80.61120840630473,0.0,2246.99,https://www.collegesearch.in/university/guru-kashi-university-bhatinda
bachelor of technology (b.tech),not specified,4 years,"guru nanak dev engineering college, bidar",5.925531104850377,80.61120840630473,0.0,4096.39,https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-bidar
master of business administration(mba),not specified,2 years,"guru nanak dev engineering college, bidar",5.925531104850377,80.61120840630473,0.0,602.41,https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-bidar
bachelor of technology (b.tech),not specified,4 years,"guru nanak dev engineering college, ludhiana",5.925531104850377,80.61120840630473,0.0,4210.31,https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-ludhiana
master of business administration(mba),not specified,2 years,"guru nanak dev engineering college, ludhiana",5.925531104850377,80.61120840630473,0.0,2152.75,https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-ludhiana
master of technology (m.tech),not specified,2 years,"guru nanak dev engineering college, ludhiana",5.925531104850377,80.61120840630473,0.0,1490.94,https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-ludhiana
bachelor of business administration (bba),not specified,3 years,"guru nanak education trust group of institutions, roorkee",5.925531104850377,80.61120840630473,0.0,3987.95,https://www.collegesearch.in/colleges/guru-nanak-education-trust-group-of-institutions-roorkee
bachelor of technology (b.tech),not specified,4 years,"guru nanak education trust group of institutions, roorkee",5.925531104850377,80.61120840630473,0.0,5771.08,https://www.collegesearch.in/colleges/guru-nanak-education-trust-group-of-institutions-roorkee
master of business administration(mba),not specified,2 years,"guru nanak education trust group of institutions, roorkee",5.925531104850377,80.61120840630473,0.0,3012.05,https://www.collegesearch.in/colleges/guru-nanak-education-trust-group-of-institutions-roorkee
bachelor of technology (b.tech),not specified,4 years,guru nanak institute of engineering and management,5.925531104850377,80.61120840630473,0.0,2045.84,https://www.collegesearch.in/colleges/guru-nanak-institute-of-engineering-and-management
bachelor of business administration (bba),not specified,3 years,"guru nanak institute of management and technology, ludhiana",5.925531104850377,80.61120840630473,0.0,1475.9,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-and-technology-ludhiana
master in management studies (mms),not specified,2 years,"guru nanak institute of management studies (gnims), mumbai",5.925531104850377,80.61120840630473,0.0,1343.98,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-studies-gnims-mumbai
bachelor of business administration (bba),not specified,3 years,"guru nanak institute of management, ambala",5.925531104850377,80.61120840630473,0.0,3216.87,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-ambala
master of business administration(mba),not specified,2 years,"guru nanak institute of management, ambala",5.925531104850377,80.61120840630473,0.0,2915.66,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-ambala
bachelor of business administration (bba),not specified,3 years,"guru nanak institute of management, delhi",5.925531104850377,80.61120840630473,0.0,2716.87,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-delhi
post graduate diploma in management - pgdm,not specified,2 years,"guru nanak institute of management, delhi",5.925531104850377,80.61120840630473,0.0,6855.42,https://www.collegesearch.in/colleges/guru-nanak-institute-of-management-delhi
bachelor of technology (b.tech),not specified,4 years,"guru premsukh memorial college of engineering, delhi",5.925531104850377,80.61120840630473,0.0,3819.28,https://www.collegesearch.in/colleges/guru-premsukh-memorial-college-of-engineering-delhi
bachelor of technology (b.tech),not specified,4 years,"guru ram dass institute of engineering & technology, bhatinda",5.925531104850377,80.61120840630473,0.0,2004.82,https://www.collegesearch.in/colleges/guru-ram-dass-institute-of-engineering-technology-bhatinda
bachelor of engineering,not specified,4 years,"guru ramdas khalsa institute of science & technology, jabalpur",5.925531104850377,80.61120840630473,0.0,2702.41,https://www.collegesearch.in/colleges/guru-ramdas-khalsa-institute-of-science-technology-jabalpur
bachelor of technology (b.tech),not specified,4 years,"guru tegh bahadur institute of technology (gtbit), delhi",5.925531104850377,80.61120840630473,0.0,5132.53,https://www.collegesearch.in/colleges/guru-tegh-bahadur-institute-of-technology-gtbit-delhi
bachelor of technology (b.tech),not specified,4 years,"gurudeva institute of science and technology, kottayam",5.925531104850377,80.61120840630473,0.0,4337.35,https://www.collegesearch.in/colleges/gurudeva-institute-of-science-and-technology-kottayam
bachelor of technology (b.tech),not specified,4 years,"gurukul institute of engineering & technology, kota",5.925531104850377,80.61120840630473,0.0,6265.06,https://www.collegesearch.in/colleges/gurukul-institute-of-engineering-technology-kota
master of technology (m.tech),not specified,2 years,"gurukul institute of engineering & technology, kota",5.925531104850377,80.61120840630473,0.0,3132.53,https://www.collegesearch.in/colleges/gurukul-institute-of-engineering-technology-kota
master of business administration(mba),not specified,2 years,"gurukul institute of fashion technology, jaipur",5.925531104850377,80.61120840630473,0.0,1614.46,https://www.collegesearch.in/colleges/gurukul-institute-of-fashion-technology-jaipur
bachelor of technology (b.tech),not specified,4 years,"gurukula college of engineering for women, bhubaneswar",5.925531104850377,80.61120840630473,0.0,2409.64,https://www.collegesearch.in/colleges/gurukula-college-of-engineering-for-women-bhubaneswar
master of business administration(mba),not specified,2 years,"guruvayurappan institute of management, coimbatore",5.925531104850377,80.61120840630473,0.0,5012.05,https://www.collegesearch.in/colleges/guruvayurappan-institute-of-management-coimbatore
bachelor of business administration (bba),not specified,3 years,"gvm girls college, sonepat",5.925531104850377,80.61120840630473,0.0,1084.34,https://www.collegesearch.in/colleges/gvm-girls-college-sonepat
master of business administration(mba),not specified,2 years,"gvm girls college, sonepat",5.925531104850377,80.61120840630473,0.0,1469.88,https://www.collegesearch.in/colleges/gvm-girls-college-sonepat
master of business administration(mba),not specified,2 years,"gvm institute of technology & management, sonepat",5.925531104850377,80.61120840630473,0.0,1277.58,https://www.collegesearch.in/colleges/gvm-institute-of-technology-management-sonepat
bachelor of technology (b.tech),not specified,4 years,"gvr & s college of engineering & technology, guntur",5.925531104850377,80.61120840630473,0.0,1686.75,https://www.collegesearch.in/colleges/gvr-s-college-of-engineering-technology-guntur
master of business administration(mba),not specified,2 years,"gvr & s college of engineering & technology, guntur",5.925531104850377,80.61120840630473,0.0,650.6,https://www.collegesearch.in/colleges/gvr-s-college-of-engineering-technology-guntur
master of technology (m.tech),not specified,2 years,"gvr & s college of engineering & technology, guntur",5.925531104850377,80.61120840630473,0.0,1373.49,https://www.collegesearch.in/colleges/gvr-s-college-of-engineering-technology-guntur
bachelor of engineering,not specified,4 years,"gwalior engineering college, gwalior",5.925531104850377,80.61120840630473,0.0,2891.57,https://www.collegesearch.in/colleges/gwalior-engineering-college-gwalior
bachelor of engineering,not specified,4 years,"gyan ganga college of technology, jabalpur",5.925531104850377,80.61120840630473,0.0,746.99,https://www.collegesearch.in/colleges/gyan-ganga-college-of-technology-jabalpur
master of business administration(mba),not specified,2 years,"gyan ganga college of technology, jabalpur",5.925531104850377,80.61120840630473,0.0,1445.78,https://www.collegesearch.in/colleges/gyan-ganga-college-of-technology-jabalpur
bachelor of engineering,not specified,4 years,"gyan ganga institute of technology & management, bhopal",5.925531104850377,80.61120840630473,0.0,3102.41,https://www.collegesearch.in/colleges/gyan-ganga-institute-of-technology-management-bhopal
bachelor of engineering,not specified,4 years,"gyan sagar college of engineering, sagar",5.925531104850377,80.61120840630473,0.0,2168.67,https://www.collegesearch.in/colleges/gyan-sagar-college-of-engineering-sagar
bachelor of technology (b.tech),not specified,4 years,"haldia institute of technology, kolkata",5.925531104850377,80.61120840630473,0.0,5140.96,https://www.collegesearch.in/colleges/haldia-institute-of-technology
master of business administration(mba),not specified,2 years,"haldia institute of technology, kolkata",5.925531104850377,80.61120840630473,0.0,2796.39,https://www.collegesearch.in/colleges/haldia-institute-of-technology
master of technology (m.tech),not specified,2 years,"haldia institute of technology, kolkata",5.925531104850377,80.61120840630473,0.0,2404.82,https://www.collegesearch.in/colleges/haldia-institute-of-technology
bachelor of engineering,not specified,4 years,hansaba college of engineering & technology,5.925531104850377,80.61120840630473,0.0,2795.18,https://www.collegesearch.in/colleges/hansaba-college-of-engineering-technology
bachelor of technology (b.tech),not specified,4 years,"harcourt butler technological university (hbtu), kanpur",5.925531104850377,80.61120840630473,0.0,4544.58,https://www.collegesearch.in/university/harcourt-butler-technological-university-hbtu-kanpur
master of technology (m.tech),not specified,2 years,"harcourt butler technological university (hbtu), kanpur",5.925531104850377,80.61120840630473,0.0,1151.33,https://www.collegesearch.in/university/harcourt-butler-technological-university-hbtu-kanpur
bachelor of business administration (bba),not specified,3 years,"hari institute of technology, saharanpur",5.925531104850377,80.61120840630473,0.0,1626.51,https://www.collegesearch.in/colleges/hari-institute-of-technology-saharanpur
bachelor of business administration (bba),not specified,3 years,"harkesh singh rana mahavidyalaya, saharanpur",5.925531104850377,80.61120840630473,0.0,1626.51,https://www.collegesearch.in/colleges/harkesh-singh-rana-mahavidyalaya-saharanpur
